# device_serial=FLMS13217
# frame_number=222
# integration_time_us=50000
# timestamp_ns=1778614513732568000
# axis_units=nm
# value_units=counts
wavelength_nm,intensity
627.9080,2603.64
628.2383,2569.47
628.5685,2586.55
628.8986,2608.52
629.2287,2686.6
629.5588,2586.55
629.8887,2588.99
630.2187,2635.36
630.5485,2652.44
630.8784,2686.6
631.2081,2615.84
631.5378,2613.4
631.8675,2576.79
632.1971,2606.08
632.5266,2671.96
632.8561,2615.84
633.1856,2606.08
633.5150,2630.48
633.8443,2708.56
634.1736,2581.67
634.5028,2547.51
634.8320,2576.79
635.1611,2584.11
635.4901,2574.35
635.8191,2598.76
636.1481,2601.2
636.4770,2576.79
636.8058,2606.08
637.1346,2606.08
637.4633,2549.95
637.7920,2545.07
638.1206,2645.12
638.4492,2596.32
638.7777,2567.03
639.1061,2569.47
639.4345,2547.51
639.7629,2557.27
640.0912,2537.75
640.4194,2615.84
640.7476,2540.19
641.0757,2552.39
641.4038,2562.15
641.7318,2581.67
642.0598,2669.52
642.3877,2520.67
642.7156,2535.31
643.0434,2462.11
643.3711,2579.23
643.6988,2554.83
644.0264,2559.71
644.3540,2591.44
644.6815,2579.23
645.0090,2545.07
645.3364,2576.79
645.6638,2540.19
645.9911,2603.64
646.3183,2510.91
646.6455,2479.19
646.9727,2586.55
647.2998,2540.19
647.6268,2606.08
647.9538,2608.52
648.2807,2581.67
648.6075,2601.2
648.9344,2603.64
649.2611,2557.27
649.5878,2535.31
649.9145,2510.91
650.2410,2584.11
650.5676,2615.84
650.8941,2537.75
651.2205,2508.47
651.5469,2515.79
651.8732,2571.91
652.1994,2571.91
652.5256,2532.87
652.8518,2537.75
653.1779,2557.27
653.5039,2530.43
653.8299,2559.71
654.1558,2603.64
654.4817,2537.75
654.8075,2527.99
655.1333,2549.95
655.4590,2535.31
655.7846,2562.15
656.1102,2571.91
656.4358,2464.55
656.7612,2608.52
657.0867,2542.63
657.4120,2515.79
657.7374,2496.27
658.0626,2510.91
